USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root         1 47.8  0.8  15152  7792 ?        Rs   01:44   0:03 /sbin/init splash
root         2  0.0  0.0      0     0 ?        S    01:44   0:00 [kthreadd]
root         3  0.0  0.0      0     0 ?        I<   01:44   0:00 [rcu_gp]
root         4  0.0  0.0      0     0 ?        I<   01:44   0:00 [rcu_par_gp]
root         5  0.0  0.0      0     0 ?        I    01:44   0:00 [kworker/0:0-memcg_kmem_cache]
root         6  0.0  0.0      0     0 ?        I<   01:44   0:00 [kworker/0:0H-mmc_complete]
root         7  0.2  0.0      0     0 ?        I    01:44   0:00 [kworker/u8:0-events_unbound]
root         8  0.0  0.0      0     0 ?        I<   01:44   0:00 [mm_percpu_wq]
root         9  0.4  0.0      0     0 ?        S    01:44   0:00 [ksoftirqd/0]
root        10  0.2  0.0      0     0 ?        I    01:44   0:00 [rcu_sched]
root        11  0.0  0.0      0     0 ?        I    01:44   0:00 [rcu_bh]
root        12  0.7  0.0      0     0 ?        S    01:44   0:00 [migration/0]
root        13  0.0  0.0      0     0 ?        S    01:44   0:00 [cpuhp/0]
root        14  0.0  0.0      0     0 ?        S    01:44   0:00 [cpuhp/1]
root        15  0.7  0.0      0     0 ?        S    01:44   0:00 [migration/1]
root        16  0.1  0.0      0     0 ?        S    01:44   0:00 [ksoftirqd/1]
root        17  0.0  0.0      0     0 ?        I    01:44   0:00 [kworker/1:0-mm_percpu_wq]
root        18  2.1  0.0      0     0 ?        I<   01:44   0:00 [kworker/1:0H-kblockd]
root        19  0.0  0.0      0     0 ?        S    01:44   0:00 [cpuhp/2]
root        20  0.7  0.0      0     0 ?        S    01:44   0:00 [migration/2]
root        21  0.2  0.0      0     0 ?        S    01:44   0:00 [ksoftirqd/2]
root        22  0.0  0.0      0     0 ?        I    01:44   0:00 [kworker/2:0-memcg_kmem_cache]
root        23  0.0  0.0      0     0 ?        I<   01:44   0:00 [kworker/2:0H-kblockd]
root        24  0.0  0.0      0     0 ?        S    01:44   0:00 [cpuhp/3]
root        25  0.0  0.0      0     0 ?        S    01:44   0:00 [migration/3]
root        26  1.0  0.0      0     0 ?        S    01:44   0:00 [ksoftirqd/3]
root        27  0.0  0.0      0     0 ?        I    01:44   0:00 [kworker/3:0-mm_percpu_wq]
root        28  0.0  0.0      0     0 ?        I<   01:44   0:00 [kworker/3:0H-kblockd]
root        29  0.0  0.0      0     0 ?        S    01:44   0:00 [kdevtmpfs]
root        30  0.0  0.0      0     0 ?        I<   01:44   0:00 [netns]
root        31  1.1  0.0      0     0 ?        I    01:44   0:00 [kworker/0:1-events]
root        32  0.2  0.0      0     0 ?        I    01:44   0:00 [kworker/1:1-events]
root        33  1.2  0.0      0     0 ?        I    01:44   0:00 [kworker/2:1-events]
root        34  0.0  0.0      0     0 ?        S    01:44   0:00 [khungtaskd]
root        35  0.0  0.0      0     0 ?        S    01:44   0:00 [oom_reaper]
root        36  0.0  0.0      0     0 ?        I<   01:44   0:00 [writeback]
root        37  0.0  0.0      0     0 ?        S    01:44   0:00 [kcompactd0]
root        38  0.0  0.0      0     0 ?        I<   01:44   0:00 [crypto]
root        39  0.0  0.0      0     0 ?        I<   01:44   0:00 [kblockd]
root        40  0.0  0.0      0     0 ?        S    01:44   0:00 [watchdogd]
root        41  0.0  0.0      0     0 ?        I<   01:44   0:00 [rpciod]
root        42  0.0  0.0      0     0 ?        I<   01:44   0:00 [kworker/u9:0]
root        43  0.0  0.0      0     0 ?        I<   01:44   0:00 [xprtiod]
root        44  0.0  0.0      0     0 ?        I    01:44   0:00 [kworker/u8:1-events_unbound]
root        46  0.0  0.0      0     0 ?        S    01:44   0:00 [kswapd0]
root        47  0.0  0.0      0     0 ?        I<   01:44   0:00 [nfsiod]
root        58  0.0  0.0      0     0 ?        I<   01:44   0:00 [kthrotld]
root        59  0.1  0.0      0     0 ?        I    01:44   0:00 [kworker/3:1-events]
root        60  0.0  0.0      0     0 ?        I<   01:44   0:00 [iscsi_eh]
root        61  0.0  0.0      0     0 ?        I<   01:44   0:00 [dwc_otg]
root        62  0.0  0.0      0     0 ?        I<   01:44   0:00 [DWC Notificatio]
root        63  3.2  0.0      0     0 ?        I    01:44   0:00 [kworker/3:2-memcg_kmem_cache]
root        64  0.0  0.0      0     0 ?        S<   01:44   0:00 [vchiq-slot/0]
root        65  0.0  0.0      0     0 ?        S<   01:44   0:00 [vchiq-recy/0]
root        66  0.0  0.0      0     0 ?        S<   01:44   0:00 [vchiq-sync/0]
root        67  0.0  0.0      0     0 ?        S    01:44   0:00 [vchiq-keep/0]
root        68  0.0  0.0      0     0 ?        S<   01:44   0:00 [SMIO]
root        69  0.0  0.0      0     0 ?        S    01:44   0:00 [irq/86-mmc1]
root        70  0.0  0.0      0     0 ?        I    01:44   0:00 [kworker/3:3-cgroup_destroy]
root        71  0.0  0.0      0     0 ?        I<   01:44   0:00 [mmc_complete]
root        72  0.5  0.0      0     0 ?        I<   01:44   0:00 [kworker/3:1H-kblockd]
root        73  0.5  0.0      0     0 ?        I<   01:44   0:00 [kworker/0:1H-mmc_complete]
root        74  0.0  0.0      0     0 ?        S    01:44   0:00 [jbd2/mmcblk0p7-]
root        75  0.0  0.0      0     0 ?        I<   01:44   0:00 [ext4-rsv-conver]
root        76  0.0  0.0      0     0 ?        I<   01:44   0:00 [kworker/1:1H]
root        77  0.1  0.0      0     0 ?        I<   01:44   0:00 [kworker/1:2H]
root        78  0.0  0.0      0     0 ?        I<   01:44   0:00 [ipv6_addrconf]
